,label,body_text,body_text_clean,body_text_tokenized,body_text_nonstop,body_text_stemmed,body_text_lemmatized
15,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",XXXMobileMovieClub To use your credit click the WAP link in the next txt message or click here httpwap xxxmobilemovieclubcomnQJKGIGHJJGCBL,"['XXXMobileMovieClub', 'To', 'use', 'your', 'credit', 'click', 'the', 'WAP', 'link', 'in', 'the', 'next', 'txt', 'message', 'or', 'click', 'here', 'httpwap', 'xxxmobilemovieclubcomnQJKGIGHJJGCBL']","['XXXMobileMovieClub', 'To', 'use', 'credit', 'click', 'WAP', 'link', 'next', 'txt', 'message', 'click', 'httpwap', 'xxxmobilemovieclubcomnQJKGIGHJJGCBL']","['xxxmobilemovieclub', 'To', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'messag', 'click', 'httpwap', 'xxxmobilemovieclubcomnqjkgighjjgcbl']","['xxxmobilemovieclub', 'To', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'messag', 'click', 'httpwap', 'xxxmobilemovieclubcomnqjkgighjjgcbl']"
16,ham,Oh k...i'm watching here:),Oh kim watching here,"['Oh', 'kim', 'watching', 'here']","['Oh', 'kim', 'watching']","['Oh', 'kim', 'watch']","['Oh', 'kim', 'watch']"
17,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,Eh u remember how 2 spell his name Yes i did He v naughty make until i v wet,"['Eh', 'u', 'remember', 'how', '2', 'spell', 'his', 'name', 'Yes', 'i', 'did', 'He', 'v', 'naughty', 'make', 'until', 'i', 'v', 'wet']","['Eh', 'u', 'remember', '2', 'spell', 'name', 'Yes', 'He', 'v', 'naughty', 'make', 'v', 'wet']","['Eh', 'u', 'rememb', '2', 'spell', 'name', 'ye', 'He', 'v', 'naughti', 'make', 'v', 'wet']","['Eh', 'u', 'rememb', '2', 'spell', 'name', 'ye', 'He', 'v', 'naughti', 'make', 'v', 'wet']"
18,ham,Fine if thats the way u feel. Thats the way its gota b,Fine if thats the way u feel Thats the way its gota b,"['Fine', 'if', 'that', 's', 'the', 'way', 'u', 'feel', 'That', 's', 'the', 'way', 'its', 'gota', 'b']","['Fine', 'way', 'u', 'feel', 'That', 'way', 'gota', 'b']","['fine', 'way', 'u', 'feel', 'that', 'way', 'gota', 'b']","['fine', 'way', 'u', 'feel', 'that', 'way', 'gota', 'b']"
19,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",England v Macedonia  dont miss the goalsteam news Txt ur national team to 87077 eg ENGLAND to 87077 TryWALES SCOTLAND 4txtú120 POBOXox36504W45WQ 16,"['England', 'v', 'Macedonia', 'dont', 'miss', 'the', 'goalsteam', 'news', 'Txt', 'ur', 'national', 'team', 'to', '87077', 'eg', 'ENGLAND', 'to', '87077', 'TryWALES', 'SCOTLAND', '4txtú120', 'POBOXox36504W45WQ', '16']","['England', 'v', 'Macedonia', 'dont', 'miss', 'goalsteam', 'news', 'Txt', 'ur', 'national', 'team', '87077', 'eg', 'ENGLAND', '87077', 'TryWALES', 'SCOTLAND', '4txtú120', 'POBOXox36504W45WQ', '16']","['england', 'v', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'nation', 'team', '87077', 'eg', 'england', '87077', 'trywal', 'scotland', '4txtú120', 'poboxox36504w45wq', '16']","['england', 'v', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'nation', 'team', '87077', 'eg', 'england', '87077', 'trywal', 'scotland', '4txtú120', 'poboxox36504w45wq', '16']"
20,ham,Is that seriously how you spell his name?,Is that seriously how you spell his name,"['Is', 'that', 'seriously', 'how', 'you', 'spell', 'his', 'name']","['Is', 'seriously', 'spell', 'name']","['Is', 'serious', 'spell', 'name']","['Is', 'serious', 'spell', 'name']"
21,ham,I‘m going to try for 2 months ha ha only joking,I‘m going to try for 2 months ha ha only joking,"['I', 'm', 'going', 'to', 'try', 'for', '2', 'months', 'ha', 'ha', 'only', 'joking']","['I', 'going', 'try', '2', 'months', 'ha', 'ha', 'joking']","['I', 'go', 'tri', '2', 'month', 'ha', 'ha', 'joke']","['I', 'go', 'tri', '2', 'month', 'ha', 'ha', 'joke']"
22,ham,So ü pay first lar... Then when is da stock comin...,So ü pay first lar Then when is da stock comin,"['So', 'ü', 'pay', 'first', 'lar', 'Then', 'when', 'is', 'da', 'stock', 'comin']","['So', 'ü', 'pay', 'first', 'lar', 'Then', 'da', 'stock', 'comin']","['So', 'ü', 'pay', 'first', 'lar', 'then', 'da', 'stock', 'comin']","['So', 'ü', 'pay', 'first', 'lar', 'then', 'da', 'stock', 'comin']"
23,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,Aft i finish my lunch then i go str down lor Ard 3 smth lor U finish ur lunch already,"['Aft', 'i', 'finish', 'my', 'lunch', 'then', 'i', 'go', 'str', 'down', 'lor', 'Ard', '3', 'smth', 'lor', 'U', 'finish', 'ur', 'lunch', 'already']","['Aft', 'finish', 'lunch', 'go', 'str', 'lor', 'Ard', '3', 'smth', 'lor', 'U', 'finish', 'ur', 'lunch', 'already']","['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', '3', 'smth', 'lor', 'U', 'finish', 'ur', 'lunch', 'alreadi']","['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', '3', 'smth', 'lor', 'U', 'finish', 'ur', 'lunch', 'alreadi']"
24,ham,Ffffffffff. Alright no way I can meet up with you sooner?,Ffffffffff Alright no way I can meet up with you sooner,"['Ffffffffff', 'Alright', 'no', 'way', 'I', 'can', 'meet', 'up', 'with', 'you', 'sooner']","['Ffffffffff', 'Alright', 'way', 'I', 'meet', 'sooner']","['ffffffffff', 'alright', 'way', 'I', 'meet', 'sooner']","['ffffffffff', 'alright', 'way', 'I', 'meet', 'sooner']"
25,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,Just forced myself to eat a slice Im really not hungry tho This sucks Mark is getting worried He knows Im sick when I turn down pizza Lol,"['Just', 'forced', 'myself', 'to', 'eat', 'a', 'slice', 'Im', 'really', 'not', 'hungry', 'tho', 'This', 'sucks', 'Mark', 'is', 'getting', 'worried', 'He', 'knows', 'Im', 'sick', 'when', 'I', 'turn', 'down', 'pizza', 'Lol']","['Just', 'forced', 'eat', 'slice', 'Im', 'really', 'hungry', 'tho', 'This', 'sucks', 'Mark', 'getting', 'worried', 'He', 'knows', 'Im', 'sick', 'I', 'turn', 'pizza', 'Lol']","['just', 'forc', 'eat', 'slice', 'Im', 'realli', 'hungri', 'tho', 'thi', 'suck', 'mark', 'get', 'worri', 'He', 'know', 'Im', 'sick', 'I', 'turn', 'pizza', 'lol']","['just', 'forc', 'eat', 'slice', 'Im', 'realli', 'hungri', 'tho', 'thi', 'suck', 'mark', 'get', 'worri', 'He', 'know', 'Im', 'sick', 'I', 'turn', 'pizza', 'lol']"
26,ham,Lol your always so convincing.,Lol your always so convincing,"['Lol', 'your', 'always', 'so', 'convincing']","['Lol', 'always', 'convincing']","['lol', 'alway', 'convinc']","['lol', 'alway', 'convinc']"
27,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,Did you catch the bus  Are you frying an egg  Did you make a tea Are you eating your moms left over dinner  Do you feel my Love ,"['Did', 'you', 'catch', 'the', 'bus', 'Are', 'you', 'frying', 'an', 'egg', 'Did', 'you', 'make', 'a', 'tea', 'Are', 'you', 'eating', 'your', 'moms', 'left', 'over', 'dinner', 'Do', 'you', 'feel', 'my', 'Love', '']","['Did', 'catch', 'bus', 'Are', 'frying', 'egg', 'Did', 'make', 'tea', 'Are', 'eating', 'moms', 'left', 'dinner', 'Do', 'feel', 'Love', '']","['did', 'catch', 'bu', 'are', 'fri', 'egg', 'did', 'make', 'tea', 'are', 'eat', 'mom', 'left', 'dinner', 'Do', 'feel', 'love', '']","['did', 'catch', 'bu', 'are', 'fri', 'egg', 'did', 'make', 'tea', 'are', 'eat', 'mom', 'left', 'dinner', 'Do', 'feel', 'love', '']"
28,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",Im back amp were packing the car now Ill let you know if theres room,"['Im', 'back', 'amp', 'were', 'packing', 'the', 'car', 'now', 'Ill', 'let', 'you', 'know', 'if', 'theres', 'room']","['Im', 'back', 'amp', 'packing', 'car', 'Ill', 'let', 'know', 'theres', 'room']","['Im', 'back', 'amp', 'pack', 'car', 'ill', 'let', 'know', 'there', 'room']","['Im', 'back', 'amp', 'pack', 'car', 'ill', 'let', 'know', 'there', 'room']"
29,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Ahhh Work I vaguely remember that What does it feel like Lol,"['Ahhh', 'Work', 'I', 'vaguely', 'remember', 'that', 'What', 'does', 'it', 'feel', 'like', 'Lol']","['Ahhh', 'Work', 'I', 'vaguely', 'remember', 'What', 'feel', 'like', 'Lol']","['ahhh', 'work', 'I', 'vagu', 'rememb', 'what', 'feel', 'like', 'lol']","['ahhh', 'work', 'I', 'vagu', 'rememb', 'what', 'feel', 'like', 'lol']"
30,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",Wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,"['Wait', 'thats', 'still', 'not', 'all', 'that', 'clear', 'were', 'you', 'not', 'sure', 'about', 'me', 'being', 'sarcastic', 'or', 'that', 'thats', 'why', 'x', 'doesnt', 'want', 'to', 'live', 'with', 'us']","['Wait', 'thats', 'still', 'clear', 'sure', 'sarcastic', 'thats', 'x', 'doesnt', 'want', 'live', 'us']","['wait', 'that', 'still', 'clear', 'sure', 'sarcast', 'that', 'x', 'doesnt', 'want', 'live', 'us']","['wait', 'that', 'still', 'clear', 'sure', 'sarcast', 'that', 'x', 'doesnt', 'want', 'live', 'u']"
31,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,Yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that Till 2 But we wont go there Not doing too badly cheers You ,"['Yeah', 'he', 'got', 'in', 'at', '2', 'and', 'was', 'v', 'apologetic', 'n', 'had', 'fallen', 'out', 'and', 'she', 'was', 'actin', 'like', 'spoilt', 'child', 'and', 'he', 'got', 'caught', 'up', 'in', 'that', 'Till', '2', 'But', 'we', 'wont', 'go', 'there', 'Not', 'doing', 'too', 'badly', 'cheers', 'You', '']","['Yeah', 'got', '2', 'v', 'apologetic', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'Till', '2', 'But', 'wont', 'go', 'Not', 'badly', 'cheers', 'You', '']","['yeah', 'got', '2', 'v', 'apologet', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', '2', 'but', 'wont', 'go', 'not', 'badli', 'cheer', 'you', '']","['yeah', 'got', '2', 'v', 'apologet', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', '2', 'but', 'wont', 'go', 'not', 'badli', 'cheer', 'you', '']"
32,ham,K tell me anything about you.,K tell me anything about you,"['K', 'tell', 'me', 'anything', 'about', 'you']","['K', 'tell', 'anything']","['K', 'tell', 'anyth']","['K', 'tell', 'anyth']"
33,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,For fear of fainting with the of all that housework you just did Quick have a cuppa,"['For', 'fear', 'of', 'fainting', 'with', 'the', 'of', 'all', 'that', 'housework', 'you', 'just', 'did', 'Quick', 'have', 'a', 'cuppa']","['For', 'fear', 'fainting', 'housework', 'Quick', 'cuppa']","['for', 'fear', 'faint', 'housework', 'quick', 'cuppa']","['for', 'fear', 'faint', 'housework', 'quick', 'cuppa']"
34,spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Thanks for your subscription to Ringtone UK your mobile will be charged £5month Please confirm by replying YES or NO If you reply NO you will not be charged,"['Thanks', 'for', 'your', 'subscription', 'to', 'Ringtone', 'UK', 'your', 'mobile', 'will', 'be', 'charged', '5month', 'Please', 'confirm', 'by', 'replying', 'YES', 'or', 'NO', 'If', 'you', 'reply', 'NO', 'you', 'will', 'not', 'be', 'charged']","['Thanks', 'subscription', 'Ringtone', 'UK', 'mobile', 'charged', '5month', 'Please', 'confirm', 'replying', 'YES', 'NO', 'If', 'reply', 'NO', 'charged']","['thank', 'subscript', 'rington', 'UK', 'mobil', 'charg', '5month', 'pleas', 'confirm', 'repli', 'ye', 'NO', 'If', 'repli', 'NO', 'charg']","['thank', 'subscript', 'rington', 'UK', 'mobil', 'charg', '5month', 'plea', 'confirm', 'repli', 'ye', 'NO', 'If', 'repli', 'NO', 'charg']"
35,ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,Yup Ok i go home look at the timings then i msg ü again Xuhui going to learn on 2nd may too but her lesson is at 8am,"['Yup', 'Ok', 'i', 'go', 'home', 'look', 'at', 'the', 'timings', 'then', 'i', 'msg', 'ü', 'again', 'Xuhui', 'going', 'to', 'learn', 'on', '2nd', 'may', 'too', 'but', 'her', 'lesson', 'is', 'at', '8am']","['Yup', 'Ok', 'go', 'home', 'look', 'timings', 'msg', 'ü', 'Xuhui', 'going', 'learn', '2nd', 'may', 'lesson', '8am']","['yup', 'Ok', 'go', 'home', 'look', 'time', 'msg', 'ü', 'xuhui', 'go', 'learn', '2nd', 'may', 'lesson', '8am']","['yup', 'Ok', 'go', 'home', 'look', 'time', 'msg', 'ü', 'xuhui', 'go', 'learn', '2nd', 'may', 'lesson', '8am']"
36,ham,"Oops, I'll let you know when my roommate's done",Oops Ill let you know when my roommates done,"['Oops', 'Ill', 'let', 'you', 'know', 'when', 'my', 'roommates', 'done']","['Oops', 'Ill', 'let', 'know', 'roommates', 'done']","['oop', 'ill', 'let', 'know', 'roommat', 'done']","['oop', 'ill', 'let', 'know', 'roommat', 'done']"
37,ham,I see the letter B on my car,I see the letter B on my car,"['I', 'see', 'the', 'letter', 'B', 'on', 'my', 'car']","['I', 'see', 'letter', 'B', 'car']","['I', 'see', 'letter', 'B', 'car']","['I', 'see', 'letter', 'B', 'car']"
38,ham,Anything lor... U decide...,Anything lor U decide,"['Anything', 'lor', 'U', 'decide']","['Anything', 'lor', 'U', 'decide']","['anyth', 'lor', 'U', 'decid']","['anyth', 'lor', 'U', 'decid']"
